Time,Action,Status,SourcePath,DestPath,Label,Confidence,Why,Note
2025-11-06T00:57:30.021329,Skip,Skip,C:\Users\leopa\Desktop\ArchiveTest\Incoming\types (1).py,C:\Users\leopa\Desktop\ArchiveTest\Sorted\types (1).py,,0.00,no match,
2025-11-06T00:57:30.021329,Skip,Skip,C:\Users\leopa\Desktop\ArchiveTest\Incoming\unece_uom.yaml,C:\Users\leopa\Desktop\ArchiveTest\Sorted\unece_uom.yaml,,0.00,no match,
2025-11-06T00:57:30.021329,Skip,Skip,C:\Users\leopa\Desktop\ArchiveTest\Incoming\[TGx]Downloaded from torrentgalaxy.to  (3).txt,C:\Users\leopa\Desktop\ArchiveTest\Sorted\[TGx]Downloaded from torrentgalaxy.to  (3).txt,,0.00,no match,
2025-11-06T00:57:30.021329,Skip,Skip,C:\Users\leopa\Desktop\ArchiveTest\Incoming\[TGx]Downloaded from torrentgalaxy.to  (4).txt,C:\Users\leopa\Desktop\ArchiveTest\Sorted\[TGx]Downloaded from torrentgalaxy.to  (4).txt,,0.00,no match,
2025-11-06T00:57:30.021329,Skip,Skip,C:\Users\leopa\Desktop\ArchiveTest\Incoming\[TGx]Downloaded from torrentgalaxy.to  (5).txt,C:\Users\leopa\Desktop\ArchiveTest\Sorted\[TGx]Downloaded from torrentgalaxy.to  (5).txt,,0.00,no match,
2025-11-06T00:57:30.021329,Skip,Skip,C:\Users\leopa\Desktop\ArchiveTest\Incoming\__init__ (14).py,C:\Users\leopa\Desktop\ArchiveTest\Sorted\__init__ (14).py,,0.00,no match,
2025-11-06T00:57:30.021329,Skip,Skip,C:\Users\leopa\Desktop\ArchiveTest\Incoming\__init__ (15).py,C:\Users\leopa\Desktop\ArchiveTest\Sorted\__init__ (15).py,,0.00,no match,
2025-11-06T00:57:30.021329,Skip,Skip,C:\Users\leopa\Desktop\ArchiveTest\Incoming\__init__ (16).py,C:\Users\leopa\Desktop\ArchiveTest\Sorted\__init__ (16).py,,0.00,no match,
2025-11-06T00:57:30.021329,Skip,Skip,C:\Users\leopa\Desktop\ArchiveTest\Incoming\__init__ (17).py,C:\Users\leopa\Desktop\ArchiveTest\Sorted\__init__ (17).py,,0.00,no match,
2025-11-06T00:57:30.021329,Skip,Skip,C:\Users\leopa\Desktop\ArchiveTest\Incoming\__init__ (18).py,C:\Users\leopa\Desktop\ArchiveTest\Sorted\__init__ (18).py,,0.00,no match,
2025-11-06T00:57:30.021329,Skip,Skip,C:\Users\leopa\Desktop\ArchiveTest\Incoming\__init__ (19).py,C:\Users\leopa\Desktop\ArchiveTest\Sorted\__init__ (19).py,,0.00,no match,
2025-11-06T00:57:30.021329,Skip,Skip,C:\Users\leopa\Desktop\ArchiveTest\Incoming\__init__ (20).py,C:\Users\leopa\Desktop\ArchiveTest\Sorted\__init__ (20).py,,0.00,no match,
2025-11-06T00:57:30.021329,Skip,Skip,C:\Users\leopa\Desktop\ArchiveTest\Incoming\__init__ (21).py,C:\Users\leopa\Desktop\ArchiveTest\Sorted\__init__ (21).py,,0.00,no match,
2025-11-06T00:57:30.021329,Skip,Skip,C:\Users\leopa\Desktop\ArchiveTest\Incoming\__init__ (29).py,C:\Users\leopa\Desktop\ArchiveTest\Sorted\__init__ (29).py,,0.00,no match,
2025-11-06T00:57:30.021329,Skip,Skip,C:\Users\leopa\Desktop\ArchiveTest\Incoming\__init__ (30).py,C:\Users\leopa\Desktop\ArchiveTest\Sorted\__init__ (30).py,,0.00,no match,
2025-11-06T00:57:30.021329,Skip,Skip,C:\Users\leopa\Desktop\ArchiveTest\Incoming\__init__ (31).py,C:\Users\leopa\Desktop\ArchiveTest\Sorted\__init__ (31).py,,0.00,no match,
2025-11-06T00:57:30.021329,Skip,Skip,C:\Users\leopa\Desktop\ArchiveTest\Incoming\__init__ (32).py,C:\Users\leopa\Desktop\ArchiveTest\Sorted\__init__ (32).py,,0.00,no match,
2025-11-06T00:57:30.021329,Skip,Skip,C:\Users\leopa\Desktop\ArchiveTest\Incoming\__init__ (33).py,C:\Users\leopa\Desktop\ArchiveTest\Sorted\__init__ (33).py,,0.00,no match,
